Document ID,Cleaned Text,,,,,sentiment
1,buy comput look comput wife ssd least gb ram least processor also wife feel comfort work window one good balanc price spec look lot like macbook pro feel littl fragil mac also like one full keyboard includ number keypad touchscreen thing like laptop someth feel useless respond well modern cellphon look laptop ssd one also intern hdd tb use store data critic access someth nice find ,,,,,negative
2,softwar develop use memori intens program need upgrad extrem happi machin second come box boot speed incred ssd time bootup complet second run data heavi node applic heavi develop server vscode spotifi tab googl chrome thing even break sweat mention program still use littl less half memori bare util cpu ton research absolut best bang buck could find would buy heartbeat flaw screen okay buy machin screen see laptop price ring better display thing touchscreen liter need ,,,,,negative
3,buy laptop person home use mainli internet search surf use microsoft offic mani hour machin yet buy configur extra ram ssd fast boot speedi quiet oper overal machin seem boot quick run fast one neg dell loud fan cycl optic drive wonder chip set gener enough heat make fan run ,,,,,negative
4,come poorli pack usabl screen dark even highest set ten minut error messag hard drive need scan error scan complet show multipl system error ask replac day ago return approv still process daughter need laptop school noth spend ,,,,,neutral
5,purchas laptop colleg bind engin student price good like dell anoth inspiron ssd one also hard drive surpris loud fan would still recommend laptop ,,,,,positive
6,run realli fast turn back light keyboard f nice screen plenti port dvd drive shut quick one silver instead black low heat comput nice size screen comfort ,,,,,positive
7,great laptop fast quiet sure peopl say fan load hear anyth reason give star phone dell two hour tri resolv hard drive issu tb show laptop sever transfer dell right person abl activ tb drive everyth els work order ,,,,,negative
8,far look best laptop ever own fast use solid state drive os tb hdd storag descript say optic drive mine come dvd rw drive receiv wrong model neg c port small neg ,,,,,positive
9,scam money dell dishonest incompet laptop pc manufactur whole world week buy amazon fan start noisi could hear hous could stop way one month go could longer return lemon call dell take pc chang fan surpris hour truck nois fan return even louder wan na throw bird window curs dell peopl thiev steal hard earn money shame amazon take lemon back scam money may god annihil dell amazon ,,,,,neutral
10,look replac year old laptop see better day look month add one list match dimens old laptop upgrad minu stuff need anymor like everyon els pleas new laptop issu tag match softwar show call dell see issu agent inform laptop upgrad author vendor forget updat tag show upgrad agent proceed tell upgrad bump cost unit higher base unit go dell websit price right get way pay complaint unit asid batteri life ,,,,,neutral
11,laptop month half love boot second multitask super fast simultan download sever file listen itun work spreadsheet slow machin one bite load memori space although gener use touchscreen featur kind cool fingerprint reader work perfectli hard press find compar laptop anywher close price also buy laplink pcmover softwar amazon make fast seamless transfer ,,,,,negative
12,laptop feel cheap key super small backlight make hard see trackpad horribl flex hypersensit point ’ almost unus set easi onboard dell ai assist fan bite loud per review machin run hot touchscreen actual decent work well speaker get buzzi even medium volum play music video yt due annoy trackpad poor sound qualiti sure keep return ,,,,,negative
13,liter thing would say laptop wish touchscreen littl respons get wrong still great touchscreen wish regist touch littl accur laptop super fast issu littl hesit dell think game brand like asu might better construct go forward definit consid dell best laptop own far ,,,,,negative
14,wish wast money buy budget acer asu model first rd laptop mani month final excel one ,,,,,neutral
15,boot time pretti long min moder usag start get respond error load time applic surprisingli long type keyboard laggi box would recommend laptop light surf stream seller awesom though would buy time ,,,,,negative
16,bootup quit fast exce last laptop hand use touch screen rate realli seem like overkil machin would give star rate except usb c connect go hook dock station realiz capabl guess look closer user complain fan nois issu fan occasion even hear dell user mani year also sever brand laptop dell prefer laptop ,,,,,negative
17,order new recurv use one return ,,,,,neutral
18,speed ok screen lower end qualiti bad contrast wash receiv use unit new list laptop work correctli updat appli perhap like new descript ,,,,,negative
19,alreadi issu requir repair beyond hous guy ,,,,,neutral
20,laptop ok price lack usb c problem especi power connector break sure adapt board case expect better dell close hp qualiti compliment ,,,,,negative
21,laptop randomli shut would restart work fine otherwis final enough contact dell warranti expir februari purchas oct promis brand new laptop someon use reject ,,,,,positive
22,give sister cook clean take trash love facebook new laptop buy laptop spec laptop gobb memori enough hard drive space million pictur hope like pretti sure love ,,,,,neutral
23,far week use love laptop spend lot time research get laptop within budget run realli well one check box speed memori sound screen great happi choic use person busi use ,,,,,positive
24,sure time touch screen worthi extra cost ,,,,,positive
25,thing ’ like even turn keyboard light continu press difficult see charact key ,,,,,positive
26,overal good laptop casual use fan backlit keyboard difficult see key sometim would recommend laptop anyon look fast easi use solut shop read reasearch ,,,,,positive
27,laptop use wife replac older dell inspiron laptop enjoy speed feel keyboard touchscreen display hear complaint prais ,,,,,positive
28,review write non techi person good memori well light screen easi use use laptopfor email publish work well laptop isheavi might like carri laptopoften fine rare take desk athom think price good capabilitiesit ,,,,,positive
29,come even around pm thank usp still work scratch outsid use greatli need good comput far work terrif fast touch screen cours realli use unless feel lazi use mous comput great pleas amazon dell send brand new comput without scratch top would put star come brand new buyer bewar ,,,,,positive
30,product arriv damag work seller refus fix replac blame damag bewar purchas brown box seller ,,,,,neutral
31,tri start comput first time say bootabl item go dell com support find warranti expir jun order comput januari avoid product seller cost total rip ,,,,,neutral
32,absolut love ,,,,,neutral
33,light enough slightli overh first use speed great ssd fli right cant fault pc save belong camp understand need touch screen laptop think wast nonetheless dell deliv expect ,,,,,positive
34,comput amaz processor fast yet reason price happi negative,,,,,
35,work expect realli good valu laptop nd hd ,,,,,positive
